"ID";"age";"balance";"previous";"job";"marital";"education";"housing";"loan";"poutcome";"y"
1;33;882;2;"unemployed";"married";"tertiary";"no";"no";"failure";"no"
2;33;3444;2;"employed";"married";"secondary";"yes";"no";"failure";"yes"
3;36;0;2;"employed";"married";"tertiary";"yes";"no";"failure";"yes"
4;56;589;2;"employed";"married";"secondary";"yes";"no";"success";"yes"
5;51;3132;1;"unemployed";"single";"secondary";"no";"no";"failure";"no"
6;33;1005;2;"unemployed";"divorced";"secondary";"yes";"no";"failure";"no"
7;34;899;2;"unemployed";"married";"tertiary";"yes";"no";"failure";"yes"
8;30;873;2;"unemployed";"married";"secondary";"yes";"no";"success";"no"
9;30;1243;1;"employed";"single";"tertiary";"yes";"no";"failure";"no"
10;44;1631;2;"unemployed";"married";"tertiary";"yes";"no";"failure";"no"
11;51;119;2;"employed";"divorced";"tertiary";"no";"no";"failure";"no"
12;51;58;2;"employed";"married";"secondary";"yes";"no";"failure";"no"
13;44;6203;1;"employed";"married";"tertiary";"yes";"yes";"failure";"no"
14;34;105;2;"employed";"single";"secondary";"yes";"no";"failure";"no"
15;49;1533;1;"employed";"married";"tertiary";"no";"no";"failure";"no"
16;47;228;1;"employed";"married";"tertiary";"yes";"no";"failure";"no"
17;40;1623;2;"employed";"single";"secondary";"yes";"no";"failure";"no"
18;47;1484;2;"employed";"married";"secondary";"no";"no";"failure";"no"
19;54;198;2;"employed";"single";"secondary";"yes";"yes";"failure";"no"
20;48;295;2;"unemployed";"divorced";"secondary";"yes";"no";"success";"no"
21;45;1477;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
22;39;401;2;"unemployed";"married";"secondary";"yes";"no";"failure";"no"
23;39;3324;1;"employed";"married";"primary";"no";"no";"failure";"no"
24;37;0;2;"employed";"married";"tertiary";"no";"no";"failure";"no"
25;49;64;1;"employed";"married";"tertiary";"no";"no";"success";"no"
26;43;1865;1;"employed";"married";"secondary";"yes";"no";"failure";"no"
27;50;633;2;"employed";"married";"secondary";"no";"yes";"failure";"no"
28;56;2749;2;"unemployed";"married";"secondary";"yes";"yes";"failure";"no"
29;51;209;2;"unemployed";"married";"tertiary";"no";"no";"failure";"no"
30;50;246;2;"employed";"single";"secondary";"yes";"no";"failure";"no"
